음식명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
탕수육,200.00 ,454.44 ,56.49 ,1.90 ,16.59 ,17.06 ,36.44 ,194.01 ,403.26 ,468.95 ,-,2.12 ,1.68 ,76.48 ,0.00 
깐풍기,200.00 ,585.08 ,43.36 ,13.94 ,33.34 ,27.80 ,41.02 ,184.71 ,629.27 ,523.54 ,-,2.73 ,1.93 ,173.00 ,0.00 
감자튀김,150.00 ,462.11 ,50.10 ,0.00 ,25.76 ,6.24 ,10.32 ,95.48 ,374.22 ,344.24 ,-,1.43 ,0.46 ,0.00 ,0.00 
고구마맛탕,200.00 ,490.93 ,90.19 ,1.43 ,13.53 ,3.30 ,108.33 ,94.47 ,213.33 ,587.22 ,-,3.61 ,1.13 ,0.00 ,0.00 
고구마튀김,100.00 ,241.57 ,34.10 ,0.00 ,10.80 ,3.21 ,20.69 ,73.99 ,150.64 ,298.57 ,18.10 ,0.63 ,0.31 ,19.00 ,0.00 
고추튀김,100.00 ,198.35 ,12.74 ,0.00 ,13.63 ,6.48 ,23.39 ,99.96 ,260.65 ,147.68 ,12.92 ,0.90 ,0.70 ,190.00 ,0.00 
김말이튀김,100.00 ,240.56 ,32.49 ,0.00 ,12.38 ,2.25 ,28.85 ,61.65 ,393.02 ,123.57 ,0.64 ,1.28 ,0.22 ,0.00 ,0.00 
채소튀김,100.00 ,311.99 ,36.35 ,0.00 ,18.53 ,3.01 ,33.33 ,91.97 ,277.28 ,274.17 ,11.29 ,0.52 ,0.33 ,0.00 ,0.00 
노각무침,150.00 ,81.35 ,16.43 ,5.09 ,2.07 ,3.09 ,38.82 ,89.11 ,822.10 ,573.20 ,-,1.67 ,0.81 ,0.00 ,0.00 
단무지무침,50.00 ,19.19 ,3.22 ,0.97 ,0.91 ,0.47 ,17.34 ,13.32 ,447.86 ,87.64 ,-,0.37 ,0.17 ,0.00 ,0.00 
달래나물무침,150.00 ,132.69 ,25.26 ,13.54 ,3.30 ,4.77 ,119.65 ,101.45 ,852.99 ,554.06 ,-,2.59 ,1.20 ,0.00 ,0.00 
더덕무침,150.00 ,220.89 ,48.44 ,31.54 ,2.74 ,4.89 ,35.80 ,129.72 ,1203.58 ,286.31 ,-,2.49 ,0.31 ,0.00 ,0.00 
도라지생채,150.00 ,165.23 ,38.59 ,3.00 ,1.71 ,4.15 ,75.06 ,151.51 ,789.08 ,725.86 ,-,6.41 ,0.40 ,0.00 ,0.00 
도토리묵,100.00 ,43.05 ,9.87 ,1.40 ,0.35 ,0.40 ,8.82 ,28.49 ,116.47 ,41.84 ,1.21 ,0.46 ,0.12 ,0.00 ,0.00 
마늘쫑무침,30.00 ,38.12 ,9.35 ,3.28 ,0.28 ,0.98 ,9.23 ,23.69 ,423.46 ,95.61 ,-,0.34 ,0.38 ,0.00 ,0.00 
무생채,150.00 ,73.68 ,16.00 ,4.50 ,1.28 ,2.63 ,73.92 ,69.60 ,832.19 ,478.52 ,-,1.78 ,0.78 ,1.68 ,0.00 
무말랭이,30.00 ,39.89 ,9.63 ,1.03 ,0.34 ,1.36 ,35.82 ,35.25 ,378.78 ,252.68 ,-,0.95 ,0.18 ,0.04 ,0.00 
오이생채,50.00 ,23.36 ,4.63 ,1.52 ,0.50 ,0.89 ,14.82 ,33.46 ,269.31 ,147.13 ,-,0.44 ,0.20 ,0.00 ,0.00 
파무침,150.00 ,124.30 ,19.47 ,8.37 ,5.41 ,3.82 ,146.02 ,81.48 ,693.83 ,377.30 ,-,2.39 ,0.41 ,10.05 ,0.00 
상추겉절이,200.00 ,130.62 ,17.99 ,2.00 ,6.25 ,5.65 ,136.84 ,146.78 ,952.32 ,850.54 ,-,3.27 ,1.18 ,5.36 ,0.00 
쑥갓나물무침,150.00 ,94.86 ,8.78 ,0.00 ,6.51 ,5.49 ,69.17 ,87.67 ,700.12 ,453.75 ,-,2.87 ,0.44 ,0.00 ,0.00 
청포묵무침,250.00 ,157.61 ,19.68 ,13.74 ,4.23 ,2.96 ,67.04 ,99.44 ,756.74 ,334.03 ,-,1.94 ,0.74 ,2.35 ,0.00 
해파리냉채,150.00 ,87.29 ,13.83 ,7.49 ,1.55 ,6.63 ,69.36 ,220.37 ,490.13 ,360.60 ,-,5.35 ,0.98 ,17.63 ,0.00 
